Plant Code,Utility Name,Plant Name,State,Latitude,Longitude,BA Code,BA Name,Fuel Type,Prime Mover,Net Generation (MWh)
1554,H.A. Wagner LLC,Herbert A Wagner,MD,39.1781,-76.5268,PJM,"PJM Interconnection, LLC",BIT,ST,59917.776
1554,H.A. Wagner LLC,Herbert A Wagner,MD,39.1781,-76.5268,PJM,"PJM Interconnection, LLC",DFO,GT,122.0
1554,H.A. Wagner LLC,Herbert A Wagner,MD,39.1781,-76.5268,PJM,"PJM Interconnection, LLC",DFO,ST,2111.94
1554,H.A. Wagner LLC,Herbert A Wagner,MD,39.1781,-76.5268,PJM,"PJM Interconnection, LLC",NG,ST,17117.636
1554,H.A. Wagner LLC,Herbert A Wagner,MD,39.1781,-76.5268,PJM,"PJM Interconnection, LLC",RC,ST,0.0
1554,H.A. Wagner LLC,Herbert A Wagner,MD,39.1781,-76.5268,PJM,"PJM Interconnection, LLC",RFO,ST,56988.648
1555,"Constellation Power Source Generation, LLC",Notch Cliff,MD,39.4217,-76.5087,PJM,"PJM Interconnection, LLC",,,
1556,"Constellation Power Source Generation, LLC",Perryman,MD,39.442836,-76.221761,PJM,"PJM Interconnection, LLC",DFO,GT,16951.021999999997
1556,"Constellation Power Source Generation, LLC",Perryman,MD,39.442836,-76.221761,PJM,"PJM Interconnection, LLC",NG,GT,476776.97899999993
1557,"Constellation Power Source Generation, LLC",Philadelphia,MD,39.2986,-76.5636,PJM,"PJM Interconnection, LLC",DFO,GT,3614.0
1559,"Constellation Power Source Generation, LLC",Riverside (MD),MD,39.2369,-76.5133,PJM,"PJM Interconnection, LLC",,,
1560,"Constellation Power Source Generation, LLC",Westport,MD,39.26604,-76.629537,PJM,"PJM Interconnection, LLC",,,
1563,Calpine Mid-Atlantic Generation LLC,Crisfield,MD,37.994134,-75.837679,PJM,"PJM Interconnection, LLC",DFO,IC,4306.0
1564,NRG Vienna Operations Inc,Vienna Operations,MD,38.4878,-75.8208,PJM,"PJM Interconnection, LLC",DFO,GT,184.0
1564,NRG Vienna Operations Inc,Vienna Operations,MD,38.4878,-75.8208,PJM,"PJM Interconnection, LLC",DFO,ST,715.52
